,Unnamed: 0,ID,Season,Fixture,MatchDay,Date,Time,Home Team,Away Team,Refree,Yellow Home,Yellow Away,2nd Yellow Home,2nd Yellow Away,Red Home,Red Away,Half Time Result,Full Time Result,Home Goals,Away Goals,Winner
0,0,0,2010,Harras El Hodoud x Zamalek SC,1,"Thu, Aug 5, 2010",6:15 PM,Harras El Hodoud,Zamalek SC,Hamdi Shaaban,0,0,0,0,0,0,1:0 ,2:2,2,2,Draw
1,1,1,2010,Wadi Degla FC x Arab Contractors SC,1,"Thu, Aug 5, 2010",6:15 PM,Wadi Degla FC,Arab Contractors SC,Mahmoud Ashour,2,0,1,0,0,0,2:1 ,4:1,4,1,Home
2,2,2,2010,Entag El Harby x Smouha SC,1,"Thu, Aug 5, 2010",8:30 PM,Entag El Harby,Smouha SC,Samir Osman,1,0,0,0,0,0,0:0 ,1:0,1,0,Home
3,3,3,2010,Ittehad Alexandria x Masr El Makasa,1,"Fri, Aug 6, 2010",6:15 PM,Ittehad Alexandria,Masr El Makasa,Gehad Grisha,2,4,1,0,0,0,1:0 ,1:1,1,1,Draw
4,4,4,2010,Masry Port Said x Tala'ea El Gaish,1,"Fri, Aug 6, 2010",6:15 PM,Masry Port Said,Tala'ea El Gaish,Sherif Rashwan,2,2,0,0,0,0,1:0 ,2:1,2,1,Home
5,5,5,2010,Petrojet x Ismaily SC,1,"Fri, Aug 6, 2010",6:15 PM,Petrojet,Ismaily SC,Fahim Omar,2,2,0,0,0,0,0:0 ,0:1,0,1,Away
6,6,6,2010,Enppi Club x El Gouna FC,1,"Fri, Aug 6, 2010",6:15 PM,Enppi Club,El Gouna FC,Raouf El Houshy,4,1,0,0,0,0,0:0 ,1:0,1,0,Home
7,7,7,2010,El Ahly Cairo x El Shorta,1,"Fri, Aug 6, 2010",8:30 PM,El Ahly Cairo,El Shorta,Yasser Abdelraouf,3,2,0,0,0,0,0:0 ,0:0,0,0,Draw
8,8,8,2010,El Shorta x Ittehad Alexandria,2,"Sat, Aug 14, 2010",9:30 PM,El Shorta,Ittehad Alexandria,Mohamed Dallas,1,2,0,0,0,0,0:0 ,0:0,0,0,Draw
9,9,9,2010,Arab Contractors SC x Entag El Harby,2,"Sat, Aug 14, 2010",9:30 PM,Arab Contractors SC,Entag El Harby,Said Abdelghafar,1,3,0,1,0,0,2:3 ,2:3,2,3,Away
10,10,10,2010,El Gouna FC x Masry Port Said,2,"Sat, Aug 14, 2010",9:30 PM,El Gouna FC,Masry Port Said,Mohamed Abbas,2,0,0,0,0,1,2:1 ,2:1,2,1,Home
11,11,11,2010,Zamalek SC x Petrojet,2,"Sun, Aug 15, 2010",9:30 PM,Zamalek SC,Petrojet,Mohamed Farouk,1,2,0,0,0,0,1:0 ,2:0,2,0,Home
12,12,12,2010,Masr El Makasa x Wadi Degla FC,2,"Sun, Aug 15, 2010",9:30 PM,Masr El Makasa,Wadi Degla FC,Sameh Farouk,2,2,0,0,0,0,3:1 ,6:2,6,2,Home
13,13,13,2010,Smouha SC x Harras El Hodoud,2,"Thu, Aug 19, 2010",9:30 PM,Smouha SC,Harras El Hodoud,Medhat El Houfy,1,5,0,0,0,1,1:1 ,2:2,2,2,Draw
14,14,14,2010,Ismaily SC x Enppi Club,2,"Thu, Aug 19, 2010",9:30 PM,Ismaily SC,Enppi Club,Tarek Samy,4,2,1,0,0,0,1:1 ,2:1,2,1,Home
